Name,Year,Durasi(Menit),Rating,Rated
The Great Escape,1963,172,9.3,Approved
Finding Nemo,2003,100,9.3,G
Prisoners,2013,153,9.3,R
Howl's Moving Castle,2004,119,9.3,PG
Rashomon,1950,88,9.3,Not Rated
The Elephant Man,1980,124,9.3,PG
Dial M for Murder,1954,105,9.3,PG
Chinatown,1974,130,9.3,R
Gone with the Wind,1939,238,9.3,G
Lock: Stock and Two Smoking Barrels,1998,107,9.3,R
V for Vendetta,2005,132,9.3,R
The Secret in Their Eyes,2009,129,9.3,R
Inside Out,2015,95,9.3,PG
Raging Bull,1980,129,9.3,R
Three Billboards Outside Ebbing: Missouri,2017,115,9.3,R
Trainspotting,1996,93,9.3,R
The Bridge on the River Kwai,1957,161,9.3,PG
Klaus,2019,96,9.3,PG
Fargo,1996,98,9.3,R
Catch Me If You Can,2002,141,9.3,PG-13
Spider-Man: No Way Home,2021,148,9.3,PG-13
Warrior,2011,140,9.3,PG-13
Gran Torino,2008,116,9.3,R
Million Dollar Baby,2004,132,9.3,PG-13
Harry Potter and the Deathly Hallows: Part 2,2011,130,9.3,PG-13
My Neighbor Totoro,1988,86,9.3,G
Children of Heaven,1997,89,9.3,PG
Years a Slave,2013,134,9.3,R
Blade Runner,1982,117,9.3,R
Ben-Hur,1959,212,9.3,G
Before Sunrise,1995,101,9.3,R
The Grand Budapest Hotel,2014,99,9.3,R
Barry Lyndon,1975,185,9.3,PG
Mad Max: Fury Road,2015,,9.3,R
Gone Girl,2014,149,9.3,R
Hacksaw Ridge,2016,139,9.3,R
The Gold Rush,1925,95,9.3,Approved
Dead Poets Society,1989,128,9.3,PG
Memories of Murder,2003,132,9.3,Not Rated
In the Name of the Father,1993,133,9.3,R
Wild Tales,2014,122,9.3,R
The Deer Hunter,1978,183,9.3,R
Monsters: Inc.,2001,92,9.3,G
The General,1926,78,9.3,Passed
On the Waterfront,1954,108,9.3,Approved
Sherlock Jr.,1924,,9.3,Passed
How to Train Your Dragon,2010,98,9.3,PG
Jaws,1975,124,9.3,PG
The Third Man,1949,93,9.3,Approved
The Wages of Fear,1953,131,9.3,Not Rated
Mary and Max,2009,92,9.3,Not Rated
Wild Strawberries,1957,91,9.3,Not Rated
Ratatouille,2007,111,9.3,G
Mr. Smith Goes to Washington,1939,129,9.3,Approved
Ford v Ferrari,2019,152,9.3,PG-13
Tokyo Story,1953,136,9.3,Not Rated
The Big Lebowski,1998,117,9.3,R
Room,2015,118,9.3,R
The Seventh Seal,1957,96,9.3,Not Rated
Rocky,1976,,9.3,PG
Logan,2017,137,9.3,R
Spotlight,2015,129,9.3,R
Hotel Rwanda,2004,121,9.3,PG-13
The Terminator,1984,107,9.3,R
Platoon,1986,,9.3,R
La haine,1995,98,9.3,Not Rated
The Passion of Joan of Arc,1928,114,9.3,Passed
Before Sunset,2004,80,9.3,R
The Best Years of Our Lives,1946,170,9.3,Approved
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,9.3,PG-13
The Exorcist,1973,122,9.3,R
Jai Bhim,2021,164,9.3,Approved
Rush,2013,123,9.3,R
Network,1976,121,9.3,R
The Wizard of Oz,1939,102,9.3,G
Stand by Me,1986,89,9.3,R
The Incredibles,2004,115,9.3,PG
